id,decile1b,decile3,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,male,racetxt,tier,pass_bar
84,10.00,10.00,42.00,3.60,1.51,1.55,1.00,3.00,1.00,1,3,0
85,4.00,2.00,21.00,2.90,-0.40,-0.90,1.00,1.00,1.00,1,4,1
86,7.00,8.00,34.00,3.40,0.55,0.68,1.00,3.00,1.00,1,4,1
87,2.00,1.00,21.00,2.60,-0.85,-1.78,1.00,3.00,0.00,0,4,1
88,10.00,10.00,39.00,2.80,1.32,1.99,1.00,3.00,1.00,1,3,1
89,7.00,6.00,34.00,3.00,0.39,0.23,1.00,5.00,0.00,1,3,1
90,5.00,4.00,45.00,2.60,-0.03,-0.55,1.00,1.00,1.00,1,3,0
91,4.00,4.00,48.00,3.80,-0.18,-0.29,1.00,4.00,0.00,1,6,1
92,6.00,3.00,34.00,3.30,0.30,-0.65,1.00,4.00,0.00,1,4,1
93,8.00,7.00,33.00,3.70,0.62,0.30,1.00,3.00,0.00,1,4,0
94,10.00,10.00,47.00,3.90,1.94,1.32,1.00,4.00,1.00,1,5,1
95,4.00,4.00,36.00,2.30,-0.21,-0.45,1.00,3.00,1.00,1,3,1
96,9.00,9.00,31.00,3.20,0.94,1.03,1.00,4.00,1.00,1,3,1
97,6.00,9.00,35.00,3.90,0.20,1.01,1.00,3.00,1.00,1,4,1
98,4.00,4.00,29.00,3.70,-0.26,-0.41,1.00,2.00,1.00,1,3,1
99,6.00,7.00,39.00,3.70,0.15,0.48,1.00,3.00,1.00,1,6,1
100,8.00,9.00,35.00,4.00,0.89,1.23,1.00,2.00,1.00,1,4,1
101,5.00,6.00,39.00,3.60,-0.11,0.29,1.00,3.00,0.00,1,4,1
102,10.00,10.00,41.00,3.80,1.60,1.49,1.00,3.00,0.00,1,4,1
103,8.00,8.00,46.00,3.80,0.74,0.66,1.00,3.00,0.00,1,5,0
104,2.00,2.00,32.00,3.90,-0.74,-1.22,1.00,3.00,0.00,1,3,0
105,9.00,9.00,32.50,2.80,0.94,1.12,1.00,3.00,1.00,1,2,1
106,8.00,8.00,36.00,3.50,0.71,0.69,1.00,4.00,0.00,1,4,1
107,5.00,4.00,28.00,2.30,-0.16,-0.50,1.00,3.00,0.00,0,3,1
108,3.00,2.00,42.00,3.20,-0.64,-0.96,1.00,2.00,1.00,1,4,1
109,6.00,4.00,34.00,3.80,0.21,-0.31,1.00,4.00,1.00,1,4,1
110,2.00,4.00,32.00,2.50,-0.86,-0.45,2.00,4.00,1.00,1,2,0
111,7.00,8.00,45.00,3.30,0.48,0.73,1.00,4.00,1.00,1,3,1
112,7.00,4.00,36.00,3.20,0.39,-0.35,1.00,4.00,1.00,1,3,1
113,10.00,10.00,32.00,3.90,1.54,1.85,1.00,4.00,0.00,1,4,1
114,8.00,9.00,42.00,3.60,0.77,0.88,1.00,2.00,1.00,1,4,1
115,5.00,4.00,37.00,3.40,-0.09,-0.37,1.00,4.00,0.00,1,4,1
116,10.00,10.00,41.00,3.30,2.08,1.88,1.00,3.00,0.00,1,5,1
117,10.00,10.00,39.00,3.60,1.88,2.02,1.00,5.00,0.00,1,4,1
118,1.00,2.00,38.00,3.20,-1.13,-1.03,1.00,2.00,0.00,1,3,1
119,8.00,8.00,45.00,3.30,0.73,0.75,1.00,4.00,1.00,1,4,1
120,7.00,6.00,43.00,3.40,0.44,0.15,1.00,5.00,0.00,1,4,1
121,6.00,5.00,48.00,3.30,0.27,-0.10,1.00,3.00,0.00,1,6,1
122,9.00,10.00,39.00,3.10,1.25,1.39,1.00,2.00,1.00,1,3,1
123,9.00,8.00,39.00,3.10,1.01,0.76,1.00,4.00,1.00,1,3,1
124,1.00,1.00,36.00,3.20,-2.15,-1.33,1.00,4.00,1.00,1,3,1
125,2.00,3.00,27.00,2.70,-0.72,-0.65,1.00,4.00,1.00,1,3,1
126,10.00,10.00,41.00,3.10,1.53,1.33,1.00,3.00,1.00,1,3,1
127,4.00,3.00,37.00,3.10,-0.26,-0.58,1.00,4.00,1.00,1,4,1
128,2.00,1.00,32.00,2.80,-0.96,-1.44,1.00,4.00,1.00,1,2,1
129,7.00,6.00,44.00,3.30,0.49,0.05,1.00,3.00,0.00,1,4,1
130,2.00,3.00,37.00,2.40,-1.10,-0.73,1.00,3.00,0.00,1,3,1
131,6.00,3.00,38.00,3.10,0.07,-0.83,1.00,3.00,1.00,1,3,1
132,3.00,3.00,44.00,3.50,-0.56,-0.68,1.00,4.00,0.00,1,5,1
133,6.00,6.00,41.00,4.00,0.13,0.15,1.00,4.00,0.00,1,4,1
134,3.00,3.00,48.00,3.30,-0.72,-0.80,1.00,4.00,1.00,1,6,1
135,8.00,9.00,39.00,3.00,0.86,1.30,2.00,2.00,0.00,1,3,1
136,9.00,9.00,34.00,4.00,1.01,1.23,1.00,4.00,0.00,1,3,1
137,4.00,4.00,42.00,3.00,-0.32,-0.42,1.00,4.00,1.00,1,3,1
138,4.00,9.00,36.00,3.80,-0.36,0.88,1.00,3.00,1.00,1,3,1
139,9.00,9.00,35.50,3.90,1.01,1.30,1.00,1.00,0.00,1,3,1
140,4.00,6.00,42.00,3.00,-0.22,0.28,1.00,3.00,0.00,1,4,1
141,8.00,4.00,29.50,3.10,0.66,-0.57,1.00,4.00,1.00,1,2,1
142,10.00,5.00,42.00,3.40,2.05,-0.19,1.00,3.00,1.00,1,6,1
143,6.00,5.00,36.00,2.90,0.08,-0.18,2.00,4.00,1.00,1,3,1
144,3.00,2.00,33.00,2.80,-0.55,-0.90,1.00,3.00,1.00,1,3,1
145,1.00,1.00,38.00,3.20,-1.38,-1.58,1.00,3.00,1.00,0,6,1
146,6.00,4.00,32.00,3.70,0.10,-0.34,1.00,3.00,0.00,1,5,1
147,3.00,7.00,35.00,2.90,-0.64,0.30,1.00,2.00,0.00,1,3,1
148,2.00,3.00,39.50,2.90,-0.91,-0.67,1.00,2.00,0.00,1,5,1
149,8.00,7.00,41.00,3.40,0.88,0.49,1.00,3.00,0.00,1,4,1
150,2.00,2.00,30.00,2.70,-1.01,-1.20,1.00,5.00,1.00,1,2,1
151,10.00,9.00,40.00,3.30,1.55,1.19,1.00,3.00,0.00,1,4,1
152,9.00,8.00,39.00,3.50,1.13,0.58,1.00,4.00,0.00,1,4,1
153,4.00,4.00,32.00,3.20,-0.20,-0.40,1.00,4.00,1.00,1,4,1
154,10.00,10.00,33.00,3.70,1.40,1.33,1.00,3.00,0.00,1,3,1
155,8.00,7.00,34.00,2.60,0.71,0.36,1.00,3.00,0.00,1,3,1
156,5.00,4.00,33.00,3.10,0.01,-0.39,1.00,4.00,1.00,1,3,1
157,1.00,1.00,24.00,2.80,-1.86,-1.77,1.00,2.00,1.00,0,3,1
158,8.00,9.00,48.00,3.90,0.90,1.00,1.00,5.00,1.00,1,6,1
159,9.00,9.00,43.00,3.90,1.15,0.91,1.00,3.00,1.00,1,5,1
160,7.00,7.00,45.00,3.30,0.52,0.38,1.00,5.00,1.00,1,5,1
161,6.00,6.00,44.00,2.70,0.22,0.13,1.00,4.00,1.00,1,4,1
162,7.00,8.00,45.00,3.90,0.46,0.72,1.00,3.00,0.00,1,5,1
163,8.00,8.00,21.00,3.30,0.79,0.71,1.00,1.00,0.00,1,1,1
164,8.00,9.00,44.00,3.70,0.77,1.14,1.00,3.00,1.00,1,6,1
165,4.00,5.00,35.00,3.00,-0.18,-0.16,1.00,3.00,0.00,1,3,1
166,10.00,9.00,46.00,3.30,1.42,0.97,1.00,4.00,1.00,1,4,1
167,6.00,4.00,44.00,2.70,0.10,-0.41,1.00,4.00,1.00,1,3,1
168,4.00,1.00,26.00,2.30,-0.33,-1.52,1.00,3.00,0.00,0,5,1
169,2.00,1.00,31.00,3.50,-1.06,-1.48,1.00,3.00,1.00,1,5,1
170,10.00,10.00,44.00,3.70,1.63,1.41,1.00,3.00,0.00,1,5,1
171,2.00,2.00,45.00,3.70,-0.94,-1.10,1.00,4.00,0.00,1,6,1
172,1.00,1.00,41.00,2.70,-1.32,-1.64,1.00,4.00,1.00,1,3,0
173,4.00,4.00,33.00,3.20,-0.39,-0.55,1.00,4.00,0.00,1,3,1
174,9.00,8.00,38.00,3.40,1.23,0.62,1.00,4.00,0.00,1,3,1
175,6.00,5.00,30.50,3.00,0.35,-0.21,1.00,3.00,1.00,1,1,0
176,8.00,6.00,31.00,2.80,0.68,0.23,1.00,3.00,1.00,1,3,1
177,7.00,7.00,34.00,3.50,0.42,0.50,1.00,4.00,0.00,1,2,1
178,2.00,3.00,37.00,2.30,-0.76,-0.86,1.00,3.00,1.00,1,3,1
179,7.00,6.00,35.00,3.10,0.39,0.06,1.00,4.00,1.00,1,4,1
180,9.00,10.00,34.00,3.20,1.22,1.33,1.00,4.00,0.00,1,3,1
181,9.00,9.00,33.00,3.70,1.19,1.31,1.00,4.00,0.00,1,3,1
182,9.00,9.00,44.00,3.40,1.07,0.90,1.00,3.00,0.00,1,4,1
183,1.00,1.00,32.00,3.00,-1.81,-1.47,1.00,3.00,0.00,0,4,1
184,2.00,1.00,32.00,2.90,-0.88,-1.66,1.00,4.00,1.00,1,3,1
185,4.00,4.00,41.00,3.50,-0.20,-0.40,1.00,4.00,1.00,1,4,1
186,10.00,10.00,39.00,3.60,1.53,1.79,1.00,1.00,0.00,1,3,1
187,5.00,6.00,39.00,3.10,-0.10,0.22,1.00,5.00,1.00,1,3,1
188,3.00,2.00,47.00,4.00,-0.78,-1.08,1.00,3.00,1.00,1,6,1
189,10.00,9.00,39.00,3.80,1.32,0.92,1.00,4.00,1.00,1,3,1
190,10.00,9.00,37.50,2.60,1.59,0.97,2.00,3.00,1.00,1,3,1
191,4.00,3.00,33.00,3.90,-0.31,-0.57,1.00,3.00,1.00,1,4,1
192,4.00,5.00,30.00,3.10,-0.28,-0.09,1.00,4.00,1.00,1,2,1
193,9.00,7.00,31.00,3.00,0.94,0.43,1.00,3.00,0.00,1,4,1
194,4.00,4.00,42.00,3.20,-0.33,-0.29,1.00,4.00,1.00,1,5,1
195,10.00,10.00,38.00,3.70,1.38,1.54,1.00,3.00,1.00,1,4,1
196,4.00,4.00,37.00,2.90,-0.34,-0.33,2.00,3.00,0.00,1,3,0
197,4.00,5.00,36.00,3.40,-0.29,-0.22,2.00,3.00,1.00,1,5,1
198,5.00,6.00,43.00,3.10,0.03,0.13,1.00,2.00,1.00,1,5,1
199,10.00,10.00,44.00,3.10,1.97,2.23,1.00,3.00,1.00,1,4,1
200,7.00,8.00,29.00,2.50,0.32,0.61,1.00,4.00,1.00,1,2,1
201,8.00,8.00,36.00,3.10,0.68,0.63,1.00,4.00,1.00,1,3,1
202,5.00,5.00,23.00,2.30,-0.03,-0.20,1.00,3.00,0.00,0,3,1
203,4.00,5.00,42.00,3.40,-0.30,-0.04,1.00,4.00,1.00,1,6,1
204,10.00,9.00,39.00,2.80,1.34,1.15,2.00,3.00,1.00,1,3,1
205,8.00,9.00,37.00,3.10,0.64,1.08,1.00,4.00,0.00,1,3,1
206,9.00,7.00,39.00,3.00,0.90,0.32,1.00,4.00,1.00,1,4,1
207,9.00,10.00,39.00,4.00,1.06,1.32,1.00,4.00,1.00,1,4,1
208,5.00,5.00,33.00,3.10,-0.05,-0.06,1.00,3.00,1.00,1,3,1
209,3.00,3.00,43.00,3.40,-0.58,-0.75,1.00,4.00,0.00,1,5,0
210,4.00,1.00,32.00,3.00,-0.41,-1.70,1.00,3.00,0.00,1,3,0
211,8.00,8.00,39.00,3.30,0.65,0.67,1.00,3.00,1.00,1,6,1
212,5.00,6.00,45.00,3.50,-0.15,0.13,1.00,4.00,0.00,1,6,1
213,7.00,7.00,32.00,3.90,0.51,0.38,1.00,4.00,0.00,1,3,1
214,5.00,5.00,39.00,3.70,-0.03,-0.12,1.00,3.00,1.00,1,3,1
215,5.00,6.00,40.00,3.90,0.00,0.13,1.00,2.00,0.00,1,5,1
216,6.00,6.00,41.00,3.60,0.17,0.19,1.00,4.00,0.00,1,4,1
217,8.00,8.00,34.00,2.90,0.82,0.68,2.00,3.00,0.00,1,2,1
218,3.00,2.00,35.00,2.60,-0.52,-1.17,1.00,3.00,1.00,1,2,1
219,3.00,3.00,42.00,2.90,-0.61,-0.81,1.00,4.00,1.00,1,4,1
220,3.00,7.00,47.00,3.20,-0.66,0.45,1.00,4.00,1.00,1,3,1
221,7.00,5.00,36.00,3.90,0.57,0.00,1.00,5.00,1.00,1,4,1
222,3.00,5.00,39.00,3.40,-0.70,-0.24,1.00,5.00,1.00,1,5,1
223,9.00,8.00,29.00,2.70,1.05,0.58,1.00,3.00,0.00,0,1,1
224,7.00,7.00,46.00,3.10,0.47,0.42,1.00,4.00,1.00,1,4,1
225,4.00,3.00,42.00,3.30,-0.23,-0.65,1.00,3.00,0.00,1,1,1
226,1.00,1.00,46.00,3.50,-1.43,-1.53,1.00,5.00,1.00,1,6,1
227,10.00,10.00,38.00,3.00,1.38,1.56,1.00,4.00,1.00,1,4,1
228,9.00,9.00,40.00,2.80,0.93,1.13,2.00,4.00,1.00,1,4,1
229,10.00,9.00,46.00,2.90,1.74,1.26,1.00,4.00,0.00,1,3,1
230,5.00,4.00,22.00,3.30,-0.16,-0.52,2.00,4.00,0.00,0,4,1
231,2.00,2.00,40.00,3.70,-0.89,-1.08,1.00,3.00,0.00,1,3,1
232,1.00,3.00,27.00,2.70,-1.50,-0.81,1.00,4.00,1.00,0,4,1
233,8.00,6.00,40.00,3.20,0.67,0.14,1.00,5.00,1.00,1,3,1
234,5.00,6.00,39.00,3.50,-0.04,0.16,1.00,3.00,1.00,1,4,1
235,1.00,1.00,31.00,2.70,-1.79,-1.77,1.00,3.00,0.00,0,3,0
236,8.00,6.00,37.00,3.60,0.58,0.25,1.00,4.00,0.00,1,3,1
237,6.00,5.00,27.50,3.10,0.25,-0.11,1.00,4.00,1.00,1,4,1
238,2.00,1.00,44.00,2.90,-1.13,-1.83,1.00,4.00,1.00,1,4,1
239,4.00,7.00,38.00,3.10,-0.27,0.32,1.00,3.00,0.00,1,3,1
240,7.00,8.00,37.00,3.30,0.55,0.57,1.00,4.00,0.00,1,6,1
241,1.00,1.00,39.00,3.50,-1.44,-1.72,1.00,4.00,0.00,0,6,1
242,4.00,1.00,33.00,3.00,-0.34,-1.34,1.00,4.00,0.00,1,3,1
243,6.00,9.00,34.00,3.50,0.10,0.88,2.00,4.00,0.00,1,3,1
244,2.00,1.00,40.50,3.60,-1.12,-1.40,1.00,4.00,1.00,1,5,1
245,9.00,9.00,43.00,3.30,0.95,1.12,1.00,3.00,0.00,1,3,1
246,4.00,5.00,41.00,3.00,-0.39,-0.23,1.00,2.00,1.00,1,4,1
247,10.00,9.00,48.00,3.50,1.99,1.26,1.00,2.00,1.00,1,4,1
248,5.00,5.00,42.00,3.10,0.01,-0.23,1.00,3.00,0.00,1,4,1
249,7.00,7.00,29.50,3.60,0.47,0.36,1.00,4.00,1.00,1,3,1
250,4.00,5.00,40.00,3.40,-0.26,-0.16,1.00,5.00,0.00,1,5,1
251,8.00,6.00,35.00,3.30,0.66,0.10,1.00,4.00,1.00,1,4,1
252,4.00,5.00,33.00,3.10,-0.30,-0.29,1.00,4.00,1.00,1,2,1
253,4.00,5.00,33.00,3.50,-0.22,-0.27,1.00,3.00,1.00,1,3,0
254,10.00,10.00,42.00,3.50,1.38,1.63,1.00,3.00,0.00,1,4,1
255,7.00,9.00,44.00,3.60,0.55,1.19,1.00,3.00,1.00,1,4,1
256,9.00,8.00,39.00,3.50,1.19,0.55,1.00,2.00,0.00,1,3,1
257,9.00,8.00,46.00,3.10,1.04,0.61,1.00,4.00,0.00,1,5,1
258,4.00,5.00,42.00,3.40,-0.25,-0.10,1.00,4.00,0.00,1,4,1
259,9.00,10.00,48.00,3.80,1.30,1.30,1.00,4.00,1.00,1,4,1
260,10.00,10.00,37.00,3.00,1.53,1.72,1.00,4.00,1.00,1,3,1
261,7.00,7.00,30.30,2.70,0.30,0.32,1.00,4.00,0.00,1,2,1
262,7.00,7.00,40.00,3.00,0.53,0.47,1.00,4.00,0.00,1,4,1
263,8.00,6.00,47.00,2.90,0.71,0.02,1.00,4.00,1.00,1,5,1
264,3.00,2.00,39.00,2.40,-0.47,-1.04,1.00,3.00,0.00,1,3,1
265,6.00,8.00,38.00,3.60,0.11,0.72,1.00,4.00,1.00,1,3,1
266,6.00,4.00,40.00,3.20,0.10,-0.51,2.00,4.00,0.00,1,3,1
267,10.00,9.00,40.00,3.40,1.34,0.95,1.00,4.00,0.00,1,3,1
268,10.00,2.00,37.00,2.30,2.60,-0.90,1.00,2.00,0.00,0,4,1
269,9.00,9.00,34.00,3.60,1.24,1.22,1.00,4.00,1.00,1,4,1
270,6.00,7.00,39.00,3.20,0.28,0.46,1.00,4.00,0.00,1,4,1
271,3.00,6.00,35.00,3.50,-0.60,0.07,1.00,4.00,0.00,1,3,1
272,3.00,4.00,45.00,3.80,-0.56,-0.30,1.00,3.00,1.00,1,6,1
273,7.00,4.00,32.00,3.70,0.43,-0.35,1.00,3.00,0.00,1,4,0
274,4.00,6.00,36.00,3.20,-0.20,0.28,1.00,4.00,1.00,1,4,1
275,2.00,3.00,40.00,2.50,-0.78,-0.78,1.00,1.00,1.00,0,4,1
276,5.00,7.00,33.00,3.20,-0.15,0.33,1.00,4.00,1.00,1,4,1
277,7.00,6.00,40.00,1.70,0.52,0.11,1.00,4.00,1.00,1,1,1
278,6.00,6.00,35.00,2.70,0.12,0.10,1.00,3.00,0.00,1,2,1
279,10.00,10.00,29.00,3.30,1.48,1.40,1.00,4.00,0.00,1,3,1
280,3.00,5.00,42.00,3.40,-0.52,-0.03,1.00,4.00,1.00,1,5,1
281,3.00,2.00,40.00,3.40,-0.76,-0.95,1.00,4.00,1.00,1,6,0
282,9.00,9.00,38.00,2.90,0.99,0.98,1.00,3.00,1.00,1,3,1
283,6.00,7.00,45.00,3.20,0.19,0.34,1.00,4.00,1.00,1,4,1
284,10.00,9.00,39.00,3.70,1.74,1.12,1.00,4.00,0.00,1,3,1
285,3.00,3.00,39.00,2.60,-0.55,-0.71,1.00,3.00,0.00,1,3,1
286,9.00,9.00,35.00,3.80,1.26,1.16,1.00,4.00,0.00,1,3,1
287,1.00,1.00,31.00,3.20,-1.18,-1.87,1.00,4.00,1.00,1,3,0
288,2.00,2.00,37.00,3.20,-0.89,-0.89,1.00,3.00,0.00,1,4,1
289,9.00,5.00,45.00,3.50,0.94,-0.08,1.00,3.00,1.00,1,5,1
290,1.00,1.00,19.00,3.00,-2.02,-2.31,1.00,1.00,0.00,0,3,0
291,1.00,1.00,40.00,3.10,-1.58,-2.05,1.00,4.00,1.00,1,3,1
292,5.00,2.00,41.00,3.40,-0.05,-1.18,1.00,3.00,1.00,1,3,1
293,3.00,3.00,26.50,2.80,-0.67,-0.69,2.00,2.00,1.00,1,5,1
294,5.00,6.00,41.00,3.80,0.04,0.25,1.00,4.00,0.00,1,6,1
295,2.00,4.00,40.00,3.80,-0.98,-0.46,1.00,3.00,0.00,1,4,1
296,1.00,1.00,29.00,3.10,-1.19,-1.39,1.00,3.00,0.00,0,2,1
297,8.00,7.00,41.00,3.40,0.85,0.52,1.00,4.00,0.00,1,6,1
298,7.00,6.00,33.00,3.90,0.46,0.07,1.00,4.00,0.00,1,3,1
299,4.00,3.00,31.00,3.50,-0.37,-0.75,1.00,4.00,1.00,1,3,1
300,9.00,10.00,38.00,3.00,1.10,1.44,1.00,4.00,0.00,1,4,1
301,8.00,8.00,44.00,3.30,0.67,0.76,1.00,3.00,1.00,1,6,1
302,5.00,5.00,37.00,3.30,-0.09,-0.04,1.00,3.00,0.00,1,4,1
303,10.00,10.00,47.00,3.80,1.98,1.65,1.00,4.00,1.00,1,4,1
304,5.00,5.00,26.00,2.60,-0.05,-0.32,2.00,3.00,0.00,1,2,1
305,9.00,8.00,35.50,3.90,1.03,0.64,1.00,3.00,1.00,1,4,1
306,10.00,10.00,41.00,3.40,1.90,1.85,1.00,4.00,1.00,1,4,1
307,2.00,2.00,43.00,2.50,-0.87,-1.01,1.00,3.00,0.00,1,4,1
308,1.00,3.00,39.00,3.70,-1.58,-0.88,1.00,3.00,0.00,1,3,1
309,4.00,7.00,46.00,3.30,-0.29,0.26,1.00,4.00,1.00,1,3,1
